Vuosi,Kk,Pv,Klo,Aikavyöhyke,Kuukauden keskilämpötila (degC)
1979,1,1,00:00,UTC,-17.8
1979,2,1,00:00,UTC,-14.3
1979,3,1,00:00,UTC,-9.4
1979,4,1,00:00,UTC,-4.7
1979,5,1,00:00,UTC,1.2
1979,6,1,00:00,UTC,8.4
1979,7,1,00:00,UTC,11.8
1979,8,1,00:00,UTC,9.6
1979,9,1,00:00,UTC,4.4
1979,10,1,00:00,UTC,-3.2
1979,11,1,00:00,UTC,-7.1
1979,12,1,00:00,UTC,-9.7
1980,1,1,00:00,UTC,-17.6
1980,2,1,00:00,UTC,-16.6
1980,3,1,00:00,UTC,-11.9
1980,4,1,00:00,UTC,-1.9
1980,5,1,00:00,UTC,2.4
1980,6,1,00:00,UTC,10.1
1980,7,1,00:00,UTC,11.8
1980,8,1,00:00,UTC,9.8
1980,9,1,00:00,UTC,5.5
1980,10,1,00:00,UTC,-2.9
1980,11,1,00:00,UTC,-11.5
1980,12,1,00:00,UTC,-17.3
1981,1,1,00:00,UTC,-17.1
1981,2,1,00:00,UTC,-15.5
1981,3,1,00:00,UTC,-15.8
1981,4,1,00:00,UTC,-4.2
1981,5,1,00:00,UTC,1.6
1981,6,1,00:00,UTC,4.3
1981,7,1,00:00,UTC,10.2
1981,8,1,00:00,UTC,8.2
1981,9,1,00:00,UTC,4.3
1981,10,1,00:00,UTC,-1.6
1981,11,1,00:00,UTC,-9.4
1981,12,1,00:00,UTC,-18.2
1982,1,1,00:00,UTC,-14.3
1982,2,1,00:00,UTC,-8.4
1982,3,1,00:00,UTC,-8.2
1982,4,1,00:00,UTC,-3.9
1982,5,1,00:00,UTC,1.3
1982,6,1,00:00,UTC,3.6
1982,7,1,00:00,UTC,10.7
1982,8,1,00:00,UTC,8.8
1982,9,1,00:00,UTC,3.1
1982,10,1,00:00,UTC,-0.8
1982,11,1,00:00,UTC,-7.2
1982,12,1,00:00,UTC,-9.6
1983,1,1,00:00,UTC,-12.7
1983,2,1,00:00,UTC,-12
1983,3,1,00:00,UTC,-9.8
1983,4,1,00:00,UTC,-2.9
1983,5,1,00:00,UTC,2.7
1983,6,1,00:00,UTC,6.6
1983,7,1,00:00,UTC,10.4
1983,8,1,00:00,UTC,7.2
1983,9,1,00:00,UTC,5.7
1983,10,1,00:00,UTC,-2.1
1983,11,1,00:00,UTC,-12.3
1983,12,1,00:00,UTC,-16.5
1984,1,1,00:00,UTC,-15.5
1984,2,1,00:00,UTC,-6.7
1984,3,1,00:00,UTC,-10.4
1984,4,1,00:00,UTC,-2.9
1984,5,1,00:00,UTC,4.7
1984,6,1,00:00,UTC,8
1984,7,1,00:00,UTC,9
1984,8,1,00:00,UTC,8.2
1984,9,1,00:00,UTC,3.9
1984,10,1,00:00,UTC,-1.1
1984,11,1,00:00,UTC,-8.1
1984,12,1,00:00,UTC,-7.6
1985,1,1,00:00,UTC,-17.6
1985,2,1,00:00,UTC,-21.6
1985,3,1,00:00,UTC,-8.9
1985,4,1,00:00,UTC,-8.1
1985,5,1,00:00,UTC,0.4
1985,6,1,00:00,UTC,6.8
1985,7,1,00:00,UTC,12.2
1985,8,1,00:00,UTC,10
1985,9,1,00:00,UTC,4.3
1985,10,1,00:00,UTC,-0.2
1985,11,1,00:00,UTC,-8.8
1985,12,1,00:00,UTC,-19.2
1986,1,1,00:00,UTC,-18.9
1986,2,1,00:00,UTC,-12.2
1986,3,1,00:00,UTC,-5.8
1986,4,1,00:00,UTC,-5.2
1986,5,1,00:00,UTC,3.3
1986,6,1,00:00,UTC,9.5
1986,7,1,00:00,UTC,11
1986,8,1,00:00,UTC,7.9
1986,9,1,00:00,UTC,2.5
1986,10,1,00:00,UTC,0.5
1986,11,1,00:00,UTC,-5.2
1986,12,1,00:00,UTC,-18.3
1987,1,1,00:00,UTC,-18.7
1987,2,1,00:00,UTC,-14.1
1987,3,1,00:00,UTC,-11.5
1987,4,1,00:00,UTC,-5.3
1987,5,1,00:00,UTC,0.8
1987,6,1,00:00,UTC,6.1
1987,7,1,00:00,UTC,9
1987,8,1,00:00,UTC,6.9
1987,9,1,00:00,UTC,4.9
1987,10,1,00:00,UTC,3.8
1987,11,1,00:00,UTC,-8.2
1987,12,1,00:00,UTC,-15.8
1988,1,1,00:00,UTC,-14.1
1988,2,1,00:00,UTC,-15.4
1988,3,1,00:00,UTC,-12.5
1988,4,1,00:00,UTC,-7
1988,5,1,00:00,UTC,1.7
1988,6,1,00:00,UTC,8.4
1988,7,1,00:00,UTC,13
1988,8,1,00:00,UTC,9.6
1988,9,1,00:00,UTC,6.1
1988,10,1,00:00,UTC,-0.5
1988,11,1,00:00,UTC,-10.1
1988,12,1,00:00,UTC,-12.2
1989,1,1,00:00,UTC,-8.4
1989,2,1,00:00,UTC,-10.1
1989,3,1,00:00,UTC,-6.2
1989,4,1,00:00,UTC,-1.5
1989,5,1,00:00,UTC,2.6
1989,6,1,00:00,UTC,8.8
1989,7,1,00:00,UTC,9.5
1989,8,1,00:00,UTC,10.5
1989,9,1,00:00,UTC,5.4
1989,10,1,00:00,UTC,-2.1
1989,11,1,00:00,UTC,-4.9
1989,12,1,00:00,UTC,-12.6
1990,1,1,00:00,UTC,-14.1
1990,2,1,00:00,UTC,-5.4
1990,3,1,00:00,UTC,-8.1
1990,4,1,00:00,UTC,-3
1990,5,1,00:00,UTC,1.3
1990,6,1,00:00,UTC,8.3
1990,7,1,00:00,UTC,11.6
1990,8,1,00:00,UTC,11.1
1990,9,1,00:00,UTC,5.5
1990,10,1,00:00,UTC,0.4
1990,11,1,00:00,UTC,-8.2
1990,12,1,00:00,UTC,-5.5
1991,1,1,00:00,UTC,-10.4
1991,2,1,00:00,UTC,-17.2
1991,3,1,00:00,UTC,-10
1991,4,1,00:00,UTC,-3.1
1991,5,1,00:00,UTC,1
1991,6,1,00:00,UTC,8.2
1991,7,1,00:00,UTC,10.7
1991,8,1,00:00,UTC,10.4
1991,9,1,00:00,UTC,3.1
1991,10,1,00:00,UTC,-0.2
1991,11,1,00:00,UTC,-6.8
1991,12,1,00:00,UTC,-7.1
1992,1,1,00:00,UTC,-7.7
1992,2,1,00:00,UTC,-7.2
1992,3,1,00:00,UTC,-6
1992,4,1,00:00,UTC,-5.8
1992,5,1,00:00,UTC,2.7
1992,6,1,00:00,UTC,9.2
1992,7,1,00:00,UTC,9.5
1992,8,1,00:00,UTC,8.2
1992,9,1,00:00,UTC,6.3
1992,10,1,00:00,UTC,-7.7
1992,11,1,00:00,UTC,-10.8
1992,12,1,00:00,UTC,-6.2
1993,2,1,00:00,UTC,-9.4
1993,3,1,00:00,UTC,-8.6
1993,4,1,00:00,UTC,-4.4
1993,5,1,00:00,UTC,2.3
1993,6,1,00:00,UTC,5.4
1993,7,1,00:00,UTC,12.1
1993,8,1,00:00,UTC,9.7
1993,9,1,00:00,UTC,3
1993,10,1,00:00,UTC,-3.8
1993,11,1,00:00,UTC,-5.4
1993,12,1,00:00,UTC,-12.5
1994,1,1,00:00,UTC,-19.9
1994,2,1,00:00,UTC,-12.9
1994,3,1,00:00,UTC,-9
1994,4,1,00:00,UTC,-1.6
1994,5,1,00:00,UTC,1.4
1994,6,1,00:00,UTC,7
1994,7,1,00:00,UTC,11.2
1994,8,1,00:00,UTC,10.4
1994,9,1,00:00,UTC,4.2
1994,10,1,00:00,UTC,-1.8
1994,11,1,00:00,UTC,-7.9
1994,12,1,00:00,UTC,-8.4
1995,1,1,00:00,UTC,-10.5
1995,2,1,00:00,UTC,-10.6
1995,3,1,00:00,UTC,-6.2
1995,4,1,00:00,UTC,-5.3
1995,5,1,00:00,UTC,0.1
1995,6,1,00:00,UTC,7.5
1995,7,1,00:00,UTC,9.7
1995,8,1,00:00,UTC,9
1995,9,1,00:00,UTC,4.8
1995,10,1,00:00,UTC,-2.3
1995,11,1,00:00,UTC,-9.5
1995,12,1,00:00,UTC,-15.6
1996,1,1,00:00,UTC,-8.5
1996,2,1,00:00,UTC,-16.2
1996,3,1,00:00,UTC,-7.4
1996,4,1,00:00,UTC,-4.4
1996,5,1,00:00,UTC,-0.8
1996,6,1,00:00,UTC,7
1996,7,1,00:00,UTC,10.7
1996,8,1,00:00,UTC,11.9
1996,9,1,00:00,UTC,4.1
1996,10,1,00:00,UTC,0.2
1996,11,1,00:00,UTC,-11.1
1996,12,1,00:00,UTC,-13.3
1997,1,1,00:00,UTC,-10.4
1997,2,1,00:00,UTC,-12.2
1997,3,1,00:00,UTC,-9.1
1997,4,1,00:00,UTC,-8
1997,5,1,00:00,UTC,1.6
1997,6,1,00:00,UTC,7.6
1997,7,1,00:00,UTC,12.7
1997,8,1,00:00,UTC,11.3
1997,9,1,00:00,UTC,6.5
1997,10,1,00:00,UTC,-1.4
1997,11,1,00:00,UTC,-8.4
1997,12,1,00:00,UTC,-9.6
1998,1,1,00:00,UTC,-10.8
1998,2,1,00:00,UTC,-17.3
1998,3,1,00:00,UTC,-12.3
1998,4,1,00:00,UTC,-6.1
1998,5,1,00:00,UTC,1.3
1998,6,1,00:00,UTC,6.6
1998,7,1,00:00,UTC,12.5
1998,8,1,00:00,UTC,9.1
1998,9,1,00:00,UTC,4.2
1998,10,1,00:00,UTC,-0.8
1998,11,1,00:00,UTC,-11.4
1998,12,1,00:00,UTC,-10.5
1999,1,1,00:00,UTC,-15.3
1999,2,1,00:00,UTC,-14.1
1999,3,1,00:00,UTC,-8.4
1999,4,1,00:00,UTC,-2.6
1999,5,1,00:00,UTC,0.2
1999,6,1,00:00,UTC,9.1
1999,7,1,00:00,UTC,10.7
1999,8,1,00:00,UTC,7.1
1999,9,1,00:00,UTC,7.2
1999,10,1,00:00,UTC,0.9
1999,11,1,00:00,UTC,-2.2
1999,12,1,00:00,UTC,-15.4
2000,1,1,00:00,UTC,-9.9
2000,2,1,00:00,UTC,-10.7
2000,3,1,00:00,UTC,-8.4
2000,4,1,00:00,UTC,-4.8
2000,5,1,00:00,UTC,2.3
2000,6,1,00:00,UTC,6.4
2000,7,1,00:00,UTC,11.1
2000,8,1,00:00,UTC,9.5
2000,9,1,00:00,UTC,5.9
2000,10,1,00:00,UTC,3.3
2000,11,1,00:00,UTC,-3.8
2000,12,1,00:00,UTC,-12.1
2001,1,1,00:00,UTC,-8.8
2001,2,1,00:00,UTC,-14.3
2001,3,1,00:00,UTC,-15.2
2001,4,1,00:00,UTC,-5.5
2001,5,1,00:00,UTC,1.9
2001,6,1,00:00,UTC,8.8
2001,7,1,00:00,UTC,10.4
2001,8,1,00:00,UTC,10
2001,9,1,00:00,UTC,7.2
2001,10,1,00:00,UTC,0.2
2001,11,1,00:00,UTC,-6.6
2001,12,1,00:00,UTC,-11
2002,1,1,00:00,UTC,-13.4
2002,2,1,00:00,UTC,-11.2
2002,3,1,00:00,UTC,-8.6
2002,4,1,00:00,UTC,-1.4
2002,5,1,00:00,UTC,4.2
2002,6,1,00:00,UTC,10.1
2002,7,1,00:00,UTC,12.2
2002,8,1,00:00,UTC,11.8
2002,9,1,00:00,UTC,4.6
2002,10,1,00:00,UTC,-3.5
2002,11,1,00:00,UTC,-11.1
2002,12,1,00:00,UTC,-14.8
2003,1,1,00:00,UTC,-19.4
2003,2,1,00:00,UTC,-6
2003,3,1,00:00,UTC,-5.7
2003,4,1,00:00,UTC,-3.3
2003,5,1,00:00,UTC,2.8
2003,6,1,00:00,UTC,7.7
2003,7,1,00:00,UTC,14
2003,8,1,00:00,UTC,10.3
2003,9,1,00:00,UTC,4.6
2003,10,1,00:00,UTC,-1.1
2003,11,1,00:00,UTC,-5.7
2003,12,1,00:00,UTC,-12.5
2004,1,1,00:00,UTC,-15.3
2004,2,1,00:00,UTC,-12.7
2004,3,1,00:00,UTC,-6.1
2004,4,1,00:00,UTC,-2.1
2004,5,1,00:00,UTC,2.8
2004,6,1,00:00,UTC,6.7
2004,7,1,00:00,UTC,13.2
2004,8,1,00:00,UTC,10.4
2004,9,1,00:00,UTC,5.8
2004,10,1,00:00,UTC,-0.2
2004,11,1,00:00,UTC,-8
2004,12,1,00:00,UTC,-6.7
2005,1,1,00:00,UTC,-8.9
2005,2,1,00:00,UTC,-10.2
2005,3,1,00:00,UTC,-9.3
2005,4,1,00:00,UTC,-1.1
2005,5,1,00:00,UTC,1.5
2005,6,1,00:00,UTC,8.8
2005,7,1,00:00,UTC,13.1
2005,8,1,00:00,UTC,10.6
2005,9,1,00:00,UTC,5.2
2005,10,1,00:00,UTC,2.1
2005,11,1,00:00,UTC,-3.2
2005,12,1,00:00,UTC,-12.4
2006,1,1,00:00,UTC,-8.5
2006,2,1,00:00,UTC,-11.3
2006,3,1,00:00,UTC,-14.4
2006,4,1,00:00,UTC,-1.8
2006,5,1,00:00,UTC,3.9
2006,6,1,00:00,UTC,8.6
2006,7,1,00:00,UTC,11.1
2006,8,1,00:00,UTC,11.6
2006,9,1,00:00,UTC,5.8
2006,10,1,00:00,UTC,-2
2006,11,1,00:00,UTC,-5.2
2006,12,1,00:00,UTC,-6.3
2007,1,1,00:00,UTC,-15
2007,2,1,00:00,UTC,-18.3
2007,3,1,00:00,UTC,-3.9
2007,4,1,00:00,UTC,-2.3
2007,5,1,00:00,UTC,2.5
2007,6,1,00:00,UTC,8.6
2007,7,1,00:00,UTC,12.2
2007,8,1,00:00,UTC,10.2
2007,9,1,00:00,UTC,4.4
2007,10,1,00:00,UTC,2.8
2007,11,1,00:00,UTC,-5.9
2007,12,1,00:00,UTC,-5.1
2008,1,1,00:00,UTC,-8.8
2008,2,1,00:00,UTC,-8.2
2008,3,1,00:00,UTC,-12.2
2008,4,1,00:00,UTC,-4.4
2008,5,1,00:00,UTC,1.7
2008,6,1,00:00,UTC,7.1
2008,7,1,00:00,UTC,11
2008,8,1,00:00,UTC,8.4
2008,9,1,00:00,UTC,5.1
2008,10,1,00:00,UTC,-0.2
2008,11,1,00:00,UTC,-6.8
2008,12,1,00:00,UTC,-8.9
2009,1,1,00:00,UTC,-10.1
2009,2,1,00:00,UTC,-15.2
2009,3,1,00:00,UTC,-8.6
2009,4,1,00:00,UTC,-3.1
2009,5,1,00:00,UTC,4.4
2009,6,1,00:00,UTC,7.1
2009,7,1,00:00,UTC,10.8
2009,8,1,00:00,UTC,11.5
2009,9,1,00:00,UTC,6.4
2009,10,1,00:00,UTC,-1.6
2009,11,1,00:00,UTC,-4.5
2009,12,1,00:00,UTC,-12.7
2010,1,1,00:00,UTC,-13.6
2010,2,1,00:00,UTC,-18.3
2010,3,1,00:00,UTC,-12.8
2010,4,1,00:00,UTC,-3.5
2010,5,1,00:00,UTC,3.4
2010,6,1,00:00,UTC,6
2010,7,1,00:00,UTC,11.3
2010,8,1,00:00,UTC,9.1
2010,9,1,00:00,UTC,6
2010,10,1,00:00,UTC,0.3
2010,11,1,00:00,UTC,-11.3
2010,12,1,00:00,UTC,-13
2011,1,1,00:00,UTC,-13.2
2011,2,1,00:00,UTC,-17.7
2011,3,1,00:00,UTC,-7.8
2011,4,1,00:00,UTC,0.2
2011,5,1,00:00,UTC,3.1
2011,6,1,00:00,UTC,10.4
2011,7,1,00:00,UTC,11.7
2011,8,1,00:00,UTC,10.3
2011,9,1,00:00,UTC,8
2011,10,1,00:00,UTC,2.4
2011,11,1,00:00,UTC,-0.4
2011,12,1,00:00,UTC,-5.1
2012,1,1,00:00,UTC,-13.2
2012,2,1,00:00,UTC,-12.1
2012,3,1,00:00,UTC,-6.4
2012,4,1,00:00,UTC,-6
2012,5,1,00:00,UTC,1.8
2012,6,1,00:00,UTC,6.5
2012,7,1,00:00,UTC,10.2
2012,8,1,00:00,UTC,9
2012,9,1,00:00,UTC,4.9
2012,10,1,00:00,UTC,-0.2
2012,11,1,00:00,UTC,-5
2012,12,1,00:00,UTC,-14.3
2013,1,1,00:00,UTC,-10
2013,2,1,00:00,UTC,-11.8
2013,3,1,00:00,UTC,-13.1
2013,4,1,00:00,UTC,-3.6
2013,5,1,00:00,UTC,5.4
2013,6,1,00:00,UTC,10.5
2013,7,1,00:00,UTC,11.6
2013,8,1,00:00,UTC,11.3
2013,9,1,00:00,UTC,7.9
2013,10,1,00:00,UTC,-0.6
2013,11,1,00:00,UTC,-6
2013,12,1,00:00,UTC,-9.8
2014,1,1,00:00,UTC,-17.2
2014,2,1,00:00,UTC,-5
2014,3,1,00:00,UTC,-7.2
2014,4,1,00:00,UTC,-2.3
2014,5,1,00:00,UTC,0.9
2014,6,1,00:00,UTC,6.5
2014,7,1,00:00,UTC,15.4
2014,8,1,00:00,UTC,11
